"","hour.1","hour.2","hour.3","hour.4","hour.5","hour.6","hour.7","hour.8","hour.9","hour.10","hour.11","hour.12","hour.13","hour.14","hour.15","hour.16","hour.17","hour.18","hour.19","hour.20","hour.21","hour.22","hour.23","hour.24","total"
"2023-01-01",1,0,0,1,0,0,0,0,5,2,3,1,5,2,2,5,10,12,4,3,2,1,1,0,60
"2023-01-02",1,0,0,1,1,1,0,0,2,3,2,2,1,3,7,9,11,10,3,0,4,0,1,0,62
"2023-01-03",1,0,0,0,1,2,5,8,5,1,3,0,0,0,2,3,3,4,4,0,0,3,0,0,45
"2023-01-04",1,0,0,2,2,1,3,6,1,1,3,0,1,5,2,5,10,4,2,2,0,2,1,0,54
"2023-01-05",0,0,0,0,1,0,3,7,8,2,5,1,4,3,1,4,2,6,7,2,1,1,0,0,58
"2023-01-06",0,0,1,0,0,3,1,0,8,6,0,2,1,5,5,12,8,7,7,0,0,1,0,0,67
"2023-01-07",0,0,0,0,0,2,1,1,0,4,0,0,0,3,0,4,4,6,3,0,0,0,1,0,29
"2023-01-08",1,0,0,0,0,0,1,0,0,0,5,1,1,4,3,2,2,1,1,2,3,2,1,0,30
"2023-01-09",0,0,0,0,0,2,8,6,4,1,2,1,0,0,4,2,4,5,5,2,1,0,1,0,48
"2023-01-10",0,0,0,1,0,0,4,10,6,2,2,0,2,1,1,7,8,5,1,1,1,0,1,0,53
"2023-01-11",0,0,2,0,1,2,2,5,5,3,2,1,1,3,3,3,10,9,7,1,1,1,0,0,62
"2023-01-12",0,0,0,0,2,1,3,2,2,1,4,1,1,3,1,3,7,10,4,0,0,0,1,0,46
"2023-01-13",0,1,0,0,0,0,1,6,2,3,5,6,4,8,10,9,5,18,11,7,3,3,0,0,102
"2023-01-14",1,0,1,1,0,1,0,4,7,10,11,6,9,4,3,2,5,8,3,2,0,2,0,0,80
"2023-01-15",1,0,1,0,2,1,0,0,1,3,0,1,2,1,2,4,4,4,3,3,0,0,0,0,33
"2023-01-16",0,1,0,0,1,0,1,3,6,5,6,8,5,6,6,4,8,14,7,1,0,1,3,0,86
"2023-01-17",1,1,0,0,0,0,2,5,2,2,6,4,1,1,8,4,9,9,6,1,1,1,1,0,65
"2023-01-18",1,0,0,0,0,0,1,4,2,3,4,1,2,5,2,6,5,9,5,3,0,2,0,0,55
"2023-01-19",1,1,0,0,0,0,1,0,1,3,8,6,4,6,10,13,11,7,3,1,1,3,0,0,80
"2023-01-20",1,0,0,0,0,1,2,2,2,2,4,11,3,3,3,8,4,1,0,1,0,2,0,0,50
"2023-01-21",0,2,0,0,1,0,1,3,1,4,10,3,3,7,8,6,2,0,0,0,0,4,0,0,55
"2023-01-22",1,1,1,0,0,3,6,3,9,4,8,12,8,13,8,10,8,6,4,1,2,1,0,0,109
"2023-01-23",0,0,0,0,0,1,7,8,7,8,7,1,5,8,7,7,8,9,5,4,4,5,0,0,101
"2023-01-24",0,0,0,0,0,3,3,6,6,9,11,7,5,8,14,12,7,7,5,4,4,4,1,0,116
"2023-01-25",0,0,0,0,0,0,0,1,10,7,13,10,9,11,10,9,8,6,11,6,5,3,2,0,121
"2023-01-26",0,1,0,0,0,1,1,1,9,11,13,5,4,9,16,8,6,9,5,9,2,4,0,0,114
"2023-01-27",0,1,0,0,0,0,0,0,3,3,6,7,2,3,4,8,6,5,3,2,2,1,0,0,56
"2023-01-28",0,1,0,0,1,0,2,1,0,1,2,1,1,4,2,4,4,4,0,2,1,2,0,0,33
"2023-01-29",0,0,0,0,0,0,0,0,1,2,1,4,2,1,1,2,1,0,0,2,2,1,0,0,20
"2023-01-30",0,0,0,0,0,0,6,6,4,3,1,2,2,3,3,1,6,9,1,2,0,1,0,0,50
"2023-01-31",1,0,0,0,0,0,2,7,2,1,4,4,2,1,5,3,3,8,3,1,1,1,0,0,49
"2023-02-01",0,0,0,0,0,3,5,2,5,0,3,0,0,0,3,3,13,12,6,0,0,0,0,0,55
"2023-02-02",0,0,0,0,0,0,8,15,8,4,7,0,0,10,5,0,8,12,0,0,0,3,0,0,80
"2023-02-03",0,0,0,0,0,0,6,12,6,3,3,4,13,3,2,6,8,5,9,2,0,0,0,0,82
"2023-02-04",0,0,0,2,0,11,0,3,3,16,0,13,3,0,6,10,14,15,10,0,2,3,3,0,114
"2023-02-05",0,0,0,0,0,5,3,0,3,0,3,2,6,6,10,5,18,21,0,0,0,0,0,0,82
"2023-02-06",0,0,3,3,5,6,21,24,20,21,17,6,8,2,5,12,9,23,3,3,3,0,6,0,200
"2023-02-07",0,0,0,0,2,0,7,7,0,8,0,2,0,6,6,10,14,15,8,0,0,0,0,0,85
"2023-02-08",0,0,0,0,3,3,5,27,2,9,5,2,6,12,0,0,2,7,15,0,0,6,0,0,104
"2023-02-09",0,0,0,0,2,2,24,9,15,14,7,10,2,5,3,0,7,12,11,0,0,2,0,0,125
"2023-02-10",0,0,3,0,3,2,10,6,3,2,18,5,5,7,16,12,22,22,13,6,3,0,2,0,160
"2023-02-11",0,0,0,0,0,0,7,3,14,9,14,20,7,6,17,8,12,14,5,0,3,0,0,0,139
"2023-02-12",0,0,0,0,0,0,6,0,5,10,14,3,3,19,19,15,20,16,10,30,9,3,3,0,185
"2023-02-13",0,3,0,0,2,0,15,16,20,4,0,0,2,6,0,11,8,24,10,6,0,0,0,0,127
"2023-02-14",0,0,0,0,0,0,9,9,9,9,0,4,0,5,2,5,3,21,8,12,0,3,0,0,99
"2023-02-15",0,0,0,0,0,0,5,9,5,3,0,2,3,3,11,0,9,13,0,0,0,0,0,0,63
"2023-02-16",0,0,0,3,3,0,11,16,2,3,5,3,0,6,3,11,13,18,3,0,0,3,0,0,103
"2023-02-17",0,0,0,0,3,0,3,13,13,14,3,0,5,3,6,7,2,8,3,0,0,0,0,0,83
"2023-02-18",0,3,0,0,0,0,0,10,5,14,16,9,5,0,14,21,12,7,3,6,0,0,0,0,125
"2023-02-19",0,0,0,5,0,0,0,0,0,0,0,3,0,6,13,5,12,9,0,2,2,0,0,0,57
"2023-02-20",0,0,0,0,0,3,24,6,21,3,5,5,5,6,3,6,2,18,9,6,0,0,5,0,127
"2023-02-21",0,0,0,0,0,0,19,17,12,7,0,3,3,16,15,11,2,5,11,3,0,0,0,0,124
"2023-02-22",0,0,0,0,0,0,28,8,10,8,8,6,3,7,6,14,9,18,8,8,0,0,0,0,141
"2023-02-23",0,0,3,0,3,0,11,6,5,1,3,0,5,14,2,5,13,21,9,3,0,1,6,0,111
"2023-02-24",0,0,0,0,0,0,5,6,10,0,8,0,11,14,4,12,8,21,10,4,0,0,0,0,113
"2023-02-25",0,0,0,7,8,0,2,14,8,19,4,4,8,12,2,8,9,12,2,5,0,0,0,0,124
"2023-02-26",0,3,0,0,0,3,3,6,7,11,34,3,3,12,7,7,16,12,5,0,2,0,0,0,134
"2023-02-27",0,3,0,0,0,0,3,3,11,27,11,16,18,9,12,23,8,16,6,3,10,0,0,0,179
"2023-02-28",0,0,0,0,0,0,0,1,0,3,8,9,11,23,5,7,11,8,2,6,4,0,0,0,98
"2023-03-01",1,1,0,0,2,1,2,7,3,0,3,2,3,7,0,2,4,4,1,1,2,0,0,0,46
"2023-03-02",0,1,0,0,0,2,8,3,3,1,2,0,1,5,2,2,4,5,2,2,0,0,0,0,43
"2023-03-03",1,0,0,0,0,2,6,9,5,1,1,3,2,4,1,3,6,5,3,0,0,0,1,0,53
"2023-03-04",0,1,0,0,0,0,0,2,2,2,5,4,3,1,2,5,3,4,1,0,0,0,0,0,35
"2023-03-05",0,0,0,0,0,0,0,0,2,0,0,1,1,2,5,8,3,2,1,1,2,0,1,0,29
"2023-03-06",0,1,0,0,1,1,12,9,7,5,4,1,3,2,2,4,4,3,2,0,1,2,1,0,65
"2023-03-07",1,0,0,1,0,0,7,7,3,6,2,2,3,3,5,4,6,3,1,1,2,1,0,0,58
"2023-03-08",0,0,1,2,0,0,4,8,3,8,1,4,0,3,0,1,3,3,2,2,0,1,2,0,48
"2023-03-09",0,2,1,0,0,1,4,7,4,5,5,1,4,2,4,3,4,5,3,1,2,1,1,0,60
"2023-03-10",0,0,0,0,0,1,3,4,5,7,1,2,4,5,9,7,8,8,7,4,0,0,0,0,75
"2023-03-11",0,0,0,1,0,2,1,4,7,8,9,6,2,4,4,3,5,0,2,1,0,1,0,0,60
"2023-03-12",0,1,0,0,0,0,0,0,1,1,1,2,1,4,2,5,4,8,1,3,3,1,0,0,38
"2023-03-13",0,0,1,0,0,3,5,9,6,3,3,0,5,3,0,2,4,7,1,0,0,0,1,0,53
"2023-03-14",0,1,0,0,1,2,3,2,6,2,1,2,3,3,2,2,5,7,3,0,0,2,0,0,47
"2023-03-15",0,0,0,1,0,0,5,7,4,3,4,2,2,3,3,1,2,4,3,0,1,1,0,0,46
"2023-03-16",1,1,2,1,0,0,2,4,3,1,1,0,1,4,0,6,3,6,3,2,2,1,0,0,44
"2023-03-17",2,0,0,0,0,3,5,4,2,6,5,4,4,3,6,4,12,14,14,1,3,3,1,0,96
"2023-03-18",0,0,1,1,0,1,2,5,3,15,11,6,6,5,7,2,1,1,5,1,0,1,0,0,74
"2023-03-19",0,0,0,0,0,1,1,0,0,2,5,1,3,4,5,10,7,8,5,3,3,2,1,0,61
"2023-03-20",0,0,0,2,0,3,4,3,5,3,0,0,0,3,2,4,2,3,3,2,0,3,1,0,43
"2023-03-21",0,0,1,0,1,0,0,1,3,2,2,2,4,3,3,0,3,4,0,1,1,0,0,0,31
"2023-03-22",0,0,0,1,0,1,2,9,6,5,1,1,3,4,3,4,5,6,1,0,0,0,1,0,53
"2023-03-23",0,0,0,0,1,2,5,4,4,3,2,1,3,3,1,1,3,3,0,1,1,1,1,0,40
"2023-03-24",0,1,0,0,0,0,7,6,6,3,2,0,1,2,5,3,3,14,1,0,0,0,1,0,55
